날짜,지역,상품아이디,일일판매량,가격,프로모션,온도,강수량,브랜드,상품이름,재고,재고--,판매량,수요
2024-10-23,Seoul,CU_J001,12,2500,0,1.5,0.09,CU,군고구마,76,64,23.45185185,low demand
2024-10-24,Seoul,CU_J001,10,2500,0,17.5,0.72,CU,군고구마,64,54,23.45185185,low demand
2024-10-25,Seoul,CU_J001,17,3000,0,18.0,0.66,CU,군고구마,54,37,23.45185185,low demand
2024-10-26,Seoul,CU_J001,25,2000,0,3.9,2.23,CU,군고구마,37,92,23.45185185,average
2024-10-27,Seoul,CU_J001,12,3000,0,17.8,4.39,CU,군고구마,92,80,23.45185185,low demand
2024-10-28,Seoul,CU_J001,10,3000,0,19.0,3.83,CU,군고구마,80,70,23.45185185,low demand
2024-10-29,Seoul,CU_J001,30,2500,0,9.1,0.49,CU,군고구마,70,40,23.45185185,high demand
2024-10-30,Seoul,CU_J001,38,2500,0,10.5,4.57,CU,군고구마,40,82,23.45185185,high demand
2024-10-31,Seoul,CU_J001,18,3000,0,18.0,4.31,CU,군고구마,82,64,23.45185185,low demand
2024-11-01,Seoul,CU_J001,12,2500,0,10.6,1.47,CU,군고구마,64,52,23.45185185,low demand
2024-11-02,Seoul,CU_J001,10,2000,1,11.3,4.48,CU,군고구마,52,42,23.45185185,low demand
2024-11-03,Seoul,CU_J001,23,2000,0,25.4,3.9,CU,군고구마,42,99,23.45185185,average
2024-11-04,Seoul,CU_J001,21,3000,0,8.9,1.74,CU,군고구마,99,78,23.45185185,low demand
2024-11-05,Seoul,CU_J001,19,2500,0,6.2,3.01,CU,군고구마,78,59,23.45185185,low demand
2024-11-06,Seoul,CU_J001,16,3000,0,10.7,4.33,CU,군고구마,59,43,23.45185185,low demand
2024-11-07,Seoul,CU_J001,28,2500,0,18.8,4.39,CU,군고구마,43,95,23.45185185,high demand
2024-11-08,Seoul,CU_J001,23,3000,1,6.4,1.25,CU,군고구마,95,72,23.45185185,average
2024-11-09,Seoul,CU_J001,11,3000,0,2.0,4.06,CU,군고구마,72,61,23.45185185,low demand
2024-11-10,Seoul,CU_J001,15,3000,0,10.1,1.46,CU,군고구마,61,46,23.45185185,low demand
2024-11-11,Seoul,CU_J001,22,2000,1,12.0,3.48,CU,군고구마,46,104,23.45185185,average
2024-11-12,Seoul,CU_J001,19,2000,0,-1.7,4.21,CU,군고구마,104,85,23.45185185,low demand
2024-11-13,Seoul,CU_J001,39,2000,1,16.1,0.21,CU,군고구마,85,46,23.45185185,high demand
2024-11-14,Seoul,CU_J001,19,2500,0,4.9,4.88,CU,군고구마,46,107,23.45185185,low demand
2024-11-15,Seoul,CU_J001,38,2500,0,23.8,2.86,CU,군고구마,107,69,23.45185185,high demand
2024-11-16,Seoul,CU_J001,28,2000,0,8.8,4.02,CU,군고구마,69,41,23.45185185,high demand
2024-11-17,Seoul,CU_J001,14,2500,0,4.8,1.03,CU,군고구마,41,107,23.45185185,low demand
2024-11-18,Seoul,CU_J001,34,3000,0,7.8,1.94,CU,군고구마,107,73,23.45185185,high demand
2024-11-19,Seoul,CU_J001,17,2000,0,16.8,0.34,CU,군고구마,73,56,23.45185185,low demand
2024-11-20,Seoul,CU_J001,35,2000,0,2.7,3.23,CU,군고구마,56,101,23.45185185,high demand
2024-11-21,Seoul,CU_J001,35,2500,0,2.9,1.57,CU,군고구마,101,66,23.45185185,high demand
2024-11-22,Seoul,CU_J001,32,2000,1,16.1,0.92,CU,군고구마,66,34,23.45185185,high demand
2024-11-23,Seoul,CU_J001,39,3000,0,17.0,4.97,CU,군고구마,34,75,23.45185185,high demand
2024-11-24,Seoul,CU_J001,16,2500,0,7.2,0.88,CU,군고구마,75,59,23.45185185,low demand
2024-11-25,Seoul,CU_J001,36,3000,0,7.7,3.26,CU,군고구마,59,103,23.45185185,high demand
2024-11-26,Seoul,CU_J001,10,3000,0,19.0,2.11,CU,군고구마,103,93,23.45185185,low demand
2024-11-27,Seoul,CU_J001,15,3000,0,2.4,0.16,CU,군고구마,93,78,23.45185185,low demand
2024-11-28,Seoul,CU_J001,17,2000,0,19.0,0.87,CU,군고구마,78,61,23.45185185,low demand
2024-11-29,Seoul,CU_J001,23,3000,1,11.2,0.17,CU,군고구마,61,38,23.45185185,average
2024-11-30,Seoul,CU_J001,30,2500,0,16.5,3.81,CU,군고구마,38,88,23.45185185,high demand
2024-12-01,Seoul,CU_J001,24,3000,0,21.3,4.39,CU,군고구마,88,64,23.45185185,average
2024-12-02,Seoul,CU_J001,31,3000,0,17.5,2.84,CU,군고구마,64,33,23.45185185,high demand
2024-12-03,Seoul,CU_J001,10,3000,0,17.5,2.1,CU,군고구마,33,103,23.45185185,low demand
2024-12-04,Seoul,CU_J001,24,2500,1,17.3,0.58,CU,군고구마,103,79,23.45185185,average
2024-12-05,Seoul,CU_J001,34,2500,0,-0.3,0.01,CU,군고구마,79,45,23.45185185,high demand
2024-12-06,Seoul,CU_J001,29,2500,0,6.9,4.4,CU,군고구마,45,96,23.45185185,high demand
2024-12-07,Seoul,CU_J001,35,2500,0,16.6,0.31,CU,군고구마,96,61,23.45185185,high demand
2024-12-08,Seoul,CU_J001,18,3000,0,19.3,3.12,CU,군고구마,61,43,23.45185185,low demand
2024-12-09,Seoul,CU_J001,10,3000,0,8.7,3.17,CU,군고구마,43,33,23.45185185,low demand
2024-12-10,Seoul,CU_J001,30,2500,0,4.3,1.13,CU,군고구마,33,83,23.45185185,high demand
2024-12-11,Seoul,CU_J001,25,3000,0,7.2,1.8,CU,군고구마,83,58,23.45185185,average
2024-12-12,Seoul,CU_J001,10,2000,0,8.2,2.99,CU,군고구마,58,48,23.45185185,low demand
2024-12-13,Seoul,CU_J001,21,2000,0,3.8,4.25,CU,군고구마,48,107,23.45185185,low demand
2024-12-14,Seoul,CU_J001,29,3000,0,17.9,0.91,CU,군고구마,107,78,23.45185185,high demand
2024-12-15,Seoul,CU_J001,21,3000,0,7.2,3.0,CU,군고구마,78,57,23.45185185,low demand
2024-12-16,Seoul,CU_J001,24,2500,0,4.8,1.04,CU,군고구마,57,33,23.45185185,average
2024-12-17,Seoul,CU_J001,10,2500,1,1.2,0.4,CU,군고구마,33,103,23.45185185,low demand
2024-12-18,Seoul,CU_J001,36,3000,0,8.1,0.7,CU,군고구마,103,67,23.45185185,high demand
2024-12-19,Seoul,CU_J001,33,2000,0,7.1,0.53,CU,군고구마,67,34,23.45185185,high demand
2024-12-20,Seoul,CU_J001,23,2000,0,11.0,4.23,CU,군고구마,34,91,23.45185185,average
2024-12-21,Seoul,CU_J001,12,2500,0,21.5,4.45,CU,군고구마,91,79,23.45185185,low demand
2024-12-22,Seoul,CU_J001,36,2500,0,3.7,0.92,CU,군고구마,79,43,23.45185185,high demand
2024-12-23,Seoul,CU_J001,16,2000,0,3.7,2.54,CU,군고구마,43,107,23.45185185,low demand
2024-12-24,Seoul,CU_J001,29,2000,1,18.8,0.34,CU,군고구마,107,78,23.45185185,high demand
2024-12-25,Seoul,CU_J001,31,3000,0,16.5,2.74,CU,군고구마,78,47,23.45185185,high demand
2024-12-26,Seoul,CU_J001,18,2000,0,8.7,4.58,CU,군고구마,47,109,23.45185185,low demand
2024-12-27,Seoul,CU_J001,16,2000,0,3.0,1.41,CU,군고구마,109,93,23.45185185,low demand
2024-12-28,Seoul,CU_J001,34,3000,0,2.9,1.82,CU,군고구마,93,59,23.45185185,high demand
2024-12-29,Seoul,CU_J001,38,2500,0,1.7,3.69,CU,군고구마,59,101,23.45185185,high demand
2024-12-30,Seoul,CU_J001,17,3000,0,11.7,4.03,CU,군고구마,101,84,23.45185185,low demand
2024-12-31,Seoul,CU_J001,10,2000,0,15.3,2.89,CU,군고구마,84,74,23.45185185,low demand
2025-01-01,Seoul,CU_J001,16,2500,0,-2.9,0.63,CU,군고구마,74,58,23.45185185,low demand
2025-01-02,Seoul,CU_J001,21,2500,0,12.9,0.22,CU,군고구마,58,37,23.45185185,low demand
2025-01-03,Seoul,CU_J001,37,3000,0,14.0,0.62,CU,군고구마,37,80,23.45185185,high demand
2025-01-04,Seoul,CU_J001,24,2000,0,6.7,2.75,CU,군고구마,80,56,23.45185185,average
2025-01-05,Seoul,CU_J001,31,2500,0,20.3,1.44,CU,군고구마,56,105,23.45185185,high demand
2025-01-06,Seoul,CU_J001,30,2000,0,6.5,2.6,CU,군고구마,105,75,23.45185185,high demand
2025-01-07,Seoul,CU_J001,30,2000,0,21.6,3.38,CU,군고구마,75,45,23.45185185,high demand
2025-01-08,Seoul,CU_J001,12,3000,0,3.2,0.71,CU,군고구마,45,33,23.45185185,low demand
2025-01-09,Seoul,CU_J001,23,3000,0,10.9,3.34,CU,군고구마,33,90,23.45185185,average
2025-01-10,Seoul,CU_J001,39,2000,0,12.8,1.13,CU,군고구마,90,51,23.45185185,high demand
2025-01-11,Seoul,CU_J001,34,3000,0,13.7,1.57,CU,군고구마,51,97,23.45185185,high demand
2025-01-12,Seoul,CU_J001,30,3000,1,-7.7,3.19,CU,군고구마,97,67,23.45185185,high demand
2025-01-13,Seoul,CU_J001,19,2000,0,13.3,4.62,CU,군고구마,67,48,23.45185185,low demand
2025-01-14,Seoul,CU_J001,39,2500,0,6.3,4.35,CU,군고구마,48,89,23.45185185,high demand
2025-01-15,Seoul,CU_J001,26,2500,0,6.5,2.06,CU,군고구마,89,63,23.45185185,high demand
2025-01-16,Seoul,CU_J001,15,2000,0,6.9,0.28,CU,군고구마,63,48,23.45185185,low demand
2025-01-17,Seoul,CU_J001,39,3000,0,8.8,4.85,CU,군고구마,48,89,23.45185185,high demand
2025-01-18,Seoul,CU_J001,16,2000,0,18.6,0.09,CU,군고구마,89,73,23.45185185,low demand
2025-01-19,Seoul,CU_J001,37,2500,0,17.7,1.89,CU,군고구마,73,36,23.45185185,high demand
2025-01-20,Seoul,CU_J001,23,3000,0,6.6,3.88,CU,군고구마,36,93,23.45185185,average
2025-01-21,Seoul,CU_J001,29,3000,0,10.6,4.13,CU,군고구마,93,64,23.45185185,high demand
2025-01-22,Seoul,CU_J001,17,2500,0,18.0,4.17,CU,군고구마,64,47,23.45185185,low demand
2025-01-23,Seoul,CU_J001,22,2500,0,12.1,1.78,CU,군고구마,47,105,23.45185185,average
2025-01-24,Seoul,CU_J001,33,2500,0,11.0,1.17,CU,군고구마,105,72,23.45185185,high demand
2025-01-25,Seoul,CU_J001,39,2500,0,12.5,2.69,CU,군고구마,72,33,23.45185185,high demand
2025-01-26,Seoul,CU_J001,38,3000,0,9.4,4.72,CU,군고구마,33,75,23.45185185,high demand
2025-01-27,Seoul,CU_J001,17,2500,0,22.1,0.61,CU,군고구마,75,58,23.45185185,low demand
2025-01-28,Seoul,CU_J001,35,2500,1,4.7,2.92,CU,군고구마,58,103,23.45185185,high demand
2025-01-29,Seoul,CU_J001,16,2500,1,9.6,2.23,CU,군고구마,103,87,23.45185185,low demand
2025-01-30,Seoul,CU_J001,27,2000,0,9.0,1.84,CU,군고구마,87,60,23.45185185,high demand
2025-01-31,Seoul,CU_J001,19,2500,0,10.5,1.98,CU,군고구마,60,41,23.45185185,low demand
2025-02-01,Seoul,CU_J001,16,2500,0,10.7,1.87,CU,군고구마,41,105,23.45185185,low demand
2025-02-02,Seoul,CU_J001,36,3000,0,8.4,4.09,CU,군고구마,105,69,23.45185185,high demand
2025-02-03,Seoul,CU_J001,36,2500,0,1.0,3.0,CU,군고구마,69,33,23.45185185,high demand
2025-02-04,Seoul,CU_J001,11,2000,0,6.6,0.83,CU,군고구마,33,102,23.45185185,low demand
2025-02-05,Seoul,CU_J001,32,3000,0,13.2,1.21,CU,군고구마,102,70,23.45185185,high demand
2025-02-06,Seoul,CU_J001,36,2000,0,10.8,1.1,CU,군고구마,70,34,23.45185185,high demand
2025-02-07,Seoul,CU_J001,14,3000,0,5.3,3.73,CU,군고구마,34,100,23.45185185,low demand
2025-02-08,Seoul,CU_J001,10,3000,0,8.0,4.98,CU,군고구마,100,90,23.45185185,low demand
2025-02-09,Seoul,CU_J001,26,2000,1,-0.3,2.44,CU,군고구마,90,64,23.45185185,high demand
2025-02-10,Seoul,CU_J001,13,2000,0,2.5,0.51,CU,군고구마,64,51,23.45185185,low demand
2025-02-11,Seoul,CU_J001,17,3000,0,-6.1,0.62,CU,군고구마,51,34,23.45185185,low demand
2025-02-12,Seoul,CU_J001,14,2000,0,13.4,3.73,CU,군고구마,34,100,23.45185185,low demand
2025-02-13,Seoul,CU_J001,21,2500,0,6.1,4.09,CU,군고구마,100,79,23.45185185,low demand
2025-02-14,Seoul,CU_J001,16,2500,0,12.9,1.05,CU,군고구마,79,63,23.45185185,low demand
2025-02-15,Seoul,CU_J001,39,3000,0,18.9,1.64,CU,군고구마,63,104,23.45185185,high demand
2025-02-16,Seoul,CU_J001,32,3000,0,13.9,1.45,CU,군고구마,104,72,23.45185185,high demand
2025-02-17,Seoul,CU_J001,21,2000,0,5.6,3.88,CU,군고구마,72,51,23.45185185,low demand
2025-02-18,Seoul,CU_J001,19,2500,0,-4.9,3.14,CU,군고구마,51,32,23.45185185,low demand
2025-02-19,Seoul,CU_J001,34,2000,0,17.5,0.94,CU,군고구마,32,78,23.45185185,high demand
2025-02-20,Seoul,CU_J001,29,3000,0,8.0,2.16,CU,군고구마,78,49,23.45185185,high demand
2025-02-21,Seoul,CU_J001,12,2500,0,1.9,2.96,CU,군고구마,49,37,23.45185185,low demand
2025-02-22,Seoul,CU_J001,16,3000,0,11.7,4.09,CU,군고구마,37,101,23.45185185,low demand
2025-02-23,Seoul,CU_J001,17,2000,0,1.5,1.84,CU,군고구마,101,84,23.45185185,low demand
2025-02-24,Seoul,CU_J001,25,2500,0,17.0,2.49,CU,군고구마,84,59,23.45185185,average
2025-02-25,Seoul,CU_J001,33,3000,0,8.0,0.68,CU,군고구마,59,106,23.45185185,high demand
2025-02-26,Seoul,CU_J001,14,2000,0,8.8,2.83,CU,군고구마,106,92,23.45185185,low demand
2025-02-27,Seoul,CU_J001,22,2000,0,5.8,1.81,CU,군고구마,92,70,23.45185185,average
2025-02-28,Seoul,CU_J001,19,2000,0,3.6,3.57,CU,군고구마,70,51,23.45185185,low demand
2025-03-01,Seoul,CU_J001,26,2500,1,8.0,0.39,CU,군고구마,51,105,23.45185185,high demand
2025-03-02,Seoul,CU_J001,37,3000,0,12.4,0.37,CU,군고구마,105,68,23.45185185,high demand
2025-03-03,Seoul,CU_J001,20,2500,0,15.8,4.24,CU,군고구마,68,48,23.45185185,low demand
2025-03-04,Seoul,CU_J001,29,3000,0,2.9,3.04,CU,군고구마,48,99,23.45185185,high demand
2025-03-05,Seoul,CU_J001,10,3000,0,6.5,0.4,CU,군고구마,99,89,23.45185185,low demand
2025-03-06,Seoul,CU_J001,27,2500,0,9.0,4.45,CU,군고구마,89,62,23.45185185,high demand
2025-03-07,Seoul,CU_J001,38,2000,0,3.7,0.34,CU,군고구마,62,104,23.45185185,high demand
2025-03-08,Seoul,CU_J001,39,2000,0,11.5,3.26,CU,군고구마,104,65,23.45185185,high demand
2025-03-09,Seoul,CU_J001,23,2500,0,13.5,2.62,CU,군고구마,65,42,23.45185185,average
2025-03-10,Seoul,CU_J001,25,2500,0,12.6,4.85,CU,군고구마,42,97,23.45185185,average
2025-03-11,Seoul,CU_J001,15,3000,0,16.3,3.78,CU,군고구마,97,82,23.45185185,low demand
2025-03-12,Seoul,CU_J001,22,2500,0,20.3,2.23,CU,군고구마,82,60,23.45185185,average
2025-03-13,Seoul,CU_J001,24,2500,0,7.4,0.42,CU,군고구마,60,36,23.45185185,average
2025-03-14,Seoul,CU_J001,33,3000,0,13.4,0.94,CU,군고구마,36,83,23.45185185,high demand
2025-03-15,Seoul,CU_J001,21,2500,0,7.6,0.82,CU,군고구마,83,62,23.45185185,low demand
2025-03-16,Seoul,CU_J001,35,3000,0,0.5,0.54,CU,군고구마,62,107,23.45185185,high demand
2025-03-17,Seoul,CU_J001,24,2000,0,8.3,4.54,CU,군고구마,107,83,23.45185185,average
2025-03-18,Seoul,CU_J001,12,2500,0,4.2,0.1,CU,군고구마,83,71,23.45185185,low demand
2025-03-19,Seoul,CU_J001,17,2000,0,8.0,4.08,CU,군고구마,71,54,23.45185185,low demand
2025-03-20,Seoul,CU_J001,28,3000,0,16.6,4.56,CU,군고구마,54,106,23.45185185,high demand
2025-03-21,Seoul,CU_J001,15,3000,0,9.8,4.92,CU,군고구마,106,91,23.45185185,low demand
2025-03-22,Seoul,CU_J001,39,2000,0,6.0,4.42,CU,군고구마,91,52,23.45185185,high demand
2025-03-23,Seoul,CU_J001,13,3000,0,16.9,2.87,CU,군고구마,52,39,23.45185185,low demand
2025-03-24,Seoul,CU_J001,26,2000,0,15.2,1.96,CU,군고구마,39,93,23.45185185,high demand
2025-03-25,Seoul,CU_J001,36,2500,1,19.4,4.19,CU,군고구마,93,57,23.45185185,high demand
2025-03-26,Seoul,CU_J001,34,2000,0,10.3,4.11,CU,군고구마,57,103,23.45185185,high demand
2025-03-27,Seoul,CU_J001,22,2000,0,8.1,4.6,CU,군고구마,103,81,23.45185185,average
2025-03-28,Seoul,CU_J001,10,3000,0,1.1,1.05,CU,군고구마,81,71,23.45185185,low demand
2025-03-29,Seoul,CU_J001,28,2000,0,11.6,4.63,CU,군고구마,71,43,23.45185185,high demand
2025-03-30,Seoul,CU_J001,31,3000,0,7.5,0.84,CU,군고구마,43,92,23.45185185,high demand
2025-03-31,Seoul,CU_J001,14,2500,0,22.2,3.94,CU,군고구마,92,78,23.45185185,low demand
2025-04-01,Seoul,CU_J001,31,3000,0,2.4,2.89,CU,군고구마,78,47,23.45185185,high demand
2025-04-02,Seoul,CU_J001,14,2500,1,9.6,4.09,CU,군고구마,47,33,23.45185185,low demand
2025-04-03,Seoul,CU_J001,21,2000,0,8.0,1.03,CU,군고구마,33,92,23.45185185,low demand
2025-04-04,Seoul,CU_J001,37,2500,0,1.4,4.32,CU,군고구마,92,55,23.45185185,high demand
2025-04-05,Seoul,CU_J001,31,3000,0,8.3,1.45,CU,군고구마,55,104,23.45185185,high demand
2025-04-06,Seoul,CU_J001,15,3000,0,-1.4,1.51,CU,군고구마,104,89,23.45185185,low demand
2025-04-07,Seoul,CU_J001,17,2500,0,13.6,1.75,CU,군고구마,89,72,23.45185185,low demand
2025-04-08,Seoul,CU_J001,23,2000,0,9.7,4.65,CU,군고구마,72,49,23.45185185,average
2025-04-09,Seoul,CU_J001,17,2000,0,12.3,2.92,CU,군고구마,49,32,23.45185185,low demand
2025-04-10,Seoul,CU_J001,29,2000,0,0.6,3.96,CU,군고구마,32,83,23.45185185,high demand
2025-04-11,Seoul,CU_J001,35,3000,0,12.3,0.49,CU,군고구마,83,48,23.45185185,high demand
2025-04-12,Seoul,CU_J001,13,3000,0,9.2,2.38,CU,군고구마,48,35,23.45185185,low demand
2025-04-13,Seoul,CU_J001,36,3000,0,15.4,1.31,CU,군고구마,35,79,23.45185185,high demand
2025-04-14,Seoul,CU_J001,24,2000,0,11.9,1.73,CU,군고구마,79,55,23.45185185,average
2025-04-15,Seoul,CU_J001,28,2000,0,10.2,1.71,CU,군고구마,55,107,23.45185185,high demand
2025-04-16,Seoul,CU_J001,18,2500,0,9.4,3.56,CU,군고구마,107,89,23.45185185,low demand
2025-04-17,Seoul,CU_J001,23,3000,1,22.7,3.16,CU,군고구마,89,66,23.45185185,average
2025-04-18,Seoul,CU_J001,15,3000,0,5.7,3.57,CU,군고구마,66,51,23.45185185,low demand
2025-04-19,Seoul,CU_J001,12,3000,1,6.9,4.91,CU,군고구마,51,39,23.45185185,low demand
2025-04-20,Seoul,CU_J001,19,2500,0,-5.4,1.02,CU,군고구마,39,100,23.45185185,low demand
2025-04-21,Seoul,CU_J001,37,2500,0,15.9,4.84,CU,군고구마,100,63,23.45185185,high demand
2025-04-22,Seoul,CU_J001,37,2000,0,0.2,4.48,CU,군고구마,63,106,23.45185185,high demand
2025-04-23,Seoul,CU_J001,18,3000,1,8.1,0.8,CU,군고구마,106,88,23.45185185,low demand
2025-04-24,Seoul,CU_J001,12,2500,0,-3.3,2.18,CU,군고구마,88,76,23.45185185,low demand
2025-04-25,Seoul,CU_J001,23,2500,0,19.7,1.5,CU,군고구마,76,53,23.45185185,average
2025-04-26,Seoul,CU_J001,10,2500,0,14.1,4.98,CU,군고구마,53,43,23.45185185,low demand
2025-04-27,Seoul,CU_J001,10,2000,1,10.4,0.36,CU,군고구마,43,33,23.45185185,low demand
2025-04-28,Seoul,CU_J001,38,3000,0,16.2,2.71,CU,군고구마,33,75,23.45185185,high demand
2025-04-29,Seoul,CU_J001,32,2000,0,12.9,3.87,CU,군고구마,75,43,23.45185185,high demand
2025-04-30,Seoul,CU_J001,20,3000,0,13.4,3.81,CU,군고구마,43,103,23.45185185,low demand
2025-05-01,Seoul,CU_J001,20,2500,1,4.3,2.67,CU,군고구마,103,83,23.45185185,low demand
2025-05-02,Seoul,CU_J001,39,3000,0,2.0,1.23,CU,군고구마,83,44,23.45185185,high demand
2025-05-03,Seoul,CU_J001,20,2000,1,10.7,1.99,CU,군고구마,44,104,23.45185185,low demand
2025-05-04,Seoul,CU_J001,31,3000,0,16.4,2.68,CU,군고구마,104,73,23.45185185,high demand
2025-05-05,Seoul,CU_J001,27,2500,1,8.2,0.91,CU,군고구마,73,46,23.45185185,high demand
2025-05-06,Seoul,CU_J001,22,3000,0,-0.4,3.36,CU,군고구마,46,104,23.45185185,average
2025-05-07,Seoul,CU_J001,34,2500,1,13.2,2.92,CU,군고구마,104,70,23.45185185,high demand
2025-05-08,Seoul,CU_J001,17,2000,0,-4.9,4.35,CU,군고구마,70,53,23.45185185,low demand
2025-05-09,Seoul,CU_J001,13,2000,0,27.1,2.17,CU,군고구마,53,40,23.45185185,low demand
2025-05-10,Seoul,CU_J001,14,2000,0,7.0,4.01,CU,군고구마,40,106,23.45185185,low demand
2025-05-11,Seoul,CU_J001,34,3000,1,6.4,2.43,CU,군고구마,106,72,23.45185185,high demand
2025-05-12,Seoul,CU_J001,29,2500,0,24.9,2.57,CU,군고구마,72,43,23.45185185,high demand
2025-05-13,Seoul,CU_J001,12,3000,0,16.6,2.39,CU,군고구마,43,31,23.45185185,low demand
2025-05-14,Seoul,CU_J001,28,3000,0,23.1,1.85,CU,군고구마,31,83,23.45185185,high demand
2025-05-15,Seoul,CU_J001,35,2000,1,10.8,4.22,CU,군고구마,83,48,23.45185185,high demand
2025-05-16,Seoul,CU_J001,12,2000,0,16.4,1.3,CU,군고구마,48,36,23.45185185,low demand
2025-05-17,Seoul,CU_J001,33,2500,0,14.5,1.04,CU,군고구마,36,83,23.45185185,high demand
2025-05-18,Seoul,CU_J001,13,2000,0,22.5,0.98,CU,군고구마,83,70,23.45185185,low demand
2025-05-19,Seoul,CU_J001,13,2500,1,14.9,2.22,CU,군고구마,70,57,23.45185185,low demand
2025-05-20,Seoul,CU_J001,28,2000,1,10.8,4.86,CU,군고구마,57,109,23.45185185,high demand
2025-05-21,Seoul,CU_J001,11,3000,0,5.6,2.29,CU,군고구마,109,98,23.45185185,low demand
2025-05-22,Seoul,CU_J001,17,3000,0,18.3,1.05,CU,군고구마,98,81,23.45185185,low demand
2025-05-23,Seoul,CU_J001,34,2500,0,4.3,1.36,CU,군고구마,81,47,23.45185185,high demand
2025-05-24,Seoul,CU_J001,11,2500,0,-6.7,3.26,CU,군고구마,47,36,23.45185185,low demand
2025-05-25,Seoul,CU_J001,30,3000,0,11.6,1.91,CU,군고구마,36,86,23.45185185,high demand
2025-05-26,Seoul,CU_J001,14,3000,0,9.1,4.73,CU,군고구마,86,72,23.45185185,low demand
2025-05-27,Seoul,CU_J001,22,2000,0,10.1,3.4,CU,군고구마,72,50,23.45185185,average
2025-05-28,Seoul,CU_J001,28,2000,0,18.3,2.38,CU,군고구마,50,102,23.45185185,high demand
2025-05-29,Seoul,CU_J001,20,2500,0,16.8,4.97,CU,군고구마,102,82,23.45185185,low demand
2025-05-30,Seoul,CU_J001,37,2000,0,17.8,1.58,CU,군고구마,82,45,23.45185185,high demand
2025-05-31,Seoul,CU_J001,23,2000,1,19.0,3.75,CU,군고구마,45,102,23.45185185,average
2025-06-01,Seoul,CU_J001,25,2000,0,14.3,1.4,CU,군고구마,102,77,23.45185185,average
2025-06-02,Seoul,CU_J001,13,2000,0,9.3,1.58,CU,군고구마,77,64,23.45185185,low demand
2025-06-03,Seoul,CU_J001,38,3000,1,10.2,0.42,CU,군고구마,64,106,23.45185185,high demand
2025-06-04,Seoul,CU_J001,16,3000,0,11.6,4.82,CU,군고구마,106,90,23.45185185,low demand
2025-06-05,Seoul,CU_J001,17,2000,0,8.2,4.84,CU,군고구마,90,73,23.45185185,low demand
2025-06-06,Seoul,CU_J001,33,2000,0,12.9,1.94,CU,군고구마,73,40,23.45185185,high demand
2025-06-07,Seoul,CU_J001,15,3000,0,3.6,2.78,CU,군고구마,40,105,23.45185185,low demand
2025-06-08,Seoul,CU_J001,17,3000,0,9.7,3.26,CU,군고구마,105,88,23.45185185,low demand
2025-06-09,Seoul,CU_J001,11,2000,0,0.6,2.53,CU,군고구마,88,77,23.45185185,low demand
2025-06-10,Seoul,CU_J001,22,2000,0,-4.6,0.86,CU,군고구마,77,55,23.45185185,average
