날짜,지역,상품아이디,일일판매량,가격,프로모션,온도,강수량,브랜드,상품이름,재고,재고--,판매량,수요
2024-12-10,Seoul,CU_J002,37,4500,0,12.3,2.45,CU,우산,91,54,24.6,high demand
2024-12-11,Seoul,CU_J002,24,4500,0,7.1,1.87,CU,우산,54,110,24.6,average
2024-12-12,Seoul,CU_J002,39,4000,0,14.5,1.17,CU,우산,110,71,24.6,high demand
2024-12-13,Seoul,CU_J002,20,4500,0,19.9,1.74,CU,우산,71,51,24.6,low demand
2024-12-14,Seoul,CU_J002,34,4500,0,26.9,2.22,CU,우산,51,97,24.6,high demand
2024-12-15,Seoul,CU_J002,21,4000,0,24.8,2.35,CU,우산,97,76,24.6,low demand
2024-12-16,Seoul,CU_J002,10,5000,1,27.4,3.84,CU,우산,76,66,24.6,low demand
2024-12-17,Seoul,CU_J002,14,4500,0,39.3,3.0,CU,우산,66,52,24.6,low demand
2024-12-18,Seoul,CU_J002,15,5000,0,15.9,4.76,CU,우산,52,37,24.6,low demand
2024-12-19,Seoul,CU_J002,19,5000,0,12.4,0.6,CU,우산,37,98,24.6,low demand
2024-12-20,Seoul,CU_J002,10,4500,0,21.5,4.93,CU,우산,98,88,24.6,low demand
2024-12-21,Seoul,CU_J002,11,5000,0,27.2,2.23,CU,우산,88,77,24.6,low demand
2024-12-22,Seoul,CU_J002,32,4000,0,31.6,1.59,CU,우산,77,45,24.6,high demand
2024-12-23,Seoul,CU_J002,30,4000,0,18.6,4.75,CU,우산,45,95,24.6,high demand
2024-12-24,Seoul,CU_J002,19,5000,0,28.2,3.9,CU,우산,95,76,24.6,low demand
2024-12-25,Seoul,CU_J002,24,5000,0,18.7,4.06,CU,우산,76,52,24.6,average
2024-12-26,Seoul,CU_J002,34,4000,0,24.7,1.34,CU,우산,52,98,24.6,high demand
2024-12-27,Seoul,CU_J002,16,5000,0,24.8,1.9,CU,우산,98,82,24.6,low demand
2024-12-28,Seoul,CU_J002,12,5000,0,24.8,0.4,CU,우산,82,70,24.6,low demand
2024-12-29,Seoul,CU_J002,38,5000,0,5.5,4.45,CU,우산,70,32,24.6,high demand
2024-12-30,Seoul,CU_J002,25,4500,0,32.5,3.46,CU,우산,32,87,24.6,average
2024-12-31,Seoul,CU_J002,36,4000,0,14.8,2.99,CU,우산,87,51,24.6,high demand
2025-01-01,Seoul,CU_J002,26,4000,0,21.9,3.48,CU,우산,51,105,24.6,average
2025-01-02,Seoul,CU_J002,12,5000,0,17.1,1.31,CU,우산,105,93,24.6,low demand
2025-01-03,Seoul,CU_J002,15,4500,0,27.8,0.37,CU,우산,93,78,24.6,low demand
2025-01-04,Seoul,CU_J002,22,4500,0,11.2,2.26,CU,우산,78,56,24.6,low demand
2025-01-05,Seoul,CU_J002,12,4500,0,18.8,1.31,CU,우산,56,44,24.6,low demand
2025-01-06,Seoul,CU_J002,25,4000,0,28.7,0.01,CU,우산,44,99,24.6,average
2025-01-07,Seoul,CU_J002,21,4500,0,27.3,3.84,CU,우산,99,78,24.6,low demand
2025-01-08,Seoul,CU_J002,14,4000,0,16.5,3.64,CU,우산,78,64,24.6,low demand
2025-01-09,Seoul,CU_J002,10,4000,0,1.0,3.11,CU,우산,64,54,24.6,low demand
2025-01-10,Seoul,CU_J002,24,4500,0,28.4,0.92,CU,우산,54,110,24.6,average
2025-01-11,Seoul,CU_J002,31,4000,0,10.1,1.13,CU,우산,110,79,24.6,high demand
2025-01-12,Seoul,CU_J002,18,4000,0,17.9,1.29,CU,우산,79,61,24.6,low demand
2025-01-13,Seoul,CU_J002,38,4500,0,24.4,2.24,CU,우산,61,103,24.6,high demand
2025-01-14,Seoul,CU_J002,29,4500,0,21.4,1.23,CU,우산,103,74,24.6,high demand
2025-01-15,Seoul,CU_J002,38,5000,0,23.0,2.87,CU,우산,74,36,24.6,high demand
2025-01-16,Seoul,CU_J002,23,5000,0,7.2,4.12,CU,우산,36,93,24.6,average
2025-01-17,Seoul,CU_J002,19,4500,1,10.0,1.02,CU,우산,93,74,24.6,low demand
2025-01-18,Seoul,CU_J002,24,5000,0,11.5,4.85,CU,우산,74,50,24.6,average
2025-01-19,Seoul,CU_J002,29,4500,0,20.4,4.79,CU,우산,50,101,24.6,high demand
2025-01-20,Seoul,CU_J002,39,4500,0,23.2,4.09,CU,우산,101,62,24.6,high demand
2025-01-21,Seoul,CU_J002,16,4000,0,27.3,2.2,CU,우산,62,46,24.6,low demand
2025-01-22,Seoul,CU_J002,28,4500,0,15.7,3.65,CU,우산,46,98,24.6,high demand
2025-01-23,Seoul,CU_J002,37,4500,0,14.0,2.75,CU,우산,98,61,24.6,high demand
2025-01-24,Seoul,CU_J002,14,5000,0,20.4,0.29,CU,우산,61,47,24.6,low demand
2025-01-25,Seoul,CU_J002,28,4500,0,22.1,3.88,CU,우산,47,99,24.6,high demand
2025-01-26,Seoul,CU_J002,23,4500,0,31.7,0.76,CU,우산,99,76,24.6,average
2025-01-27,Seoul,CU_J002,19,4000,0,9.3,4.45,CU,우산,76,57,24.6,low demand
2025-01-28,Seoul,CU_J002,25,5000,0,25.2,3.5,CU,우산,57,32,24.6,average
2025-01-29,Seoul,CU_J002,36,5000,1,15.0,3.86,CU,우산,32,76,24.6,high demand
2025-01-30,Seoul,CU_J002,11,4000,0,31.0,0.59,CU,우산,76,65,24.6,low demand
2025-01-31,Seoul,CU_J002,27,4000,0,18.6,1.17,CU,우산,65,38,24.6,average
2025-02-01,Seoul,CU_J002,10,5000,0,10.5,2.4,CU,우산,38,108,24.6,low demand
2025-02-02,Seoul,CU_J002,31,5000,0,25.8,2.82,CU,우산,108,77,24.6,high demand
2025-02-03,Seoul,CU_J002,12,4500,0,26.0,1.42,CU,우산,77,65,24.6,low demand
2025-02-04,Seoul,CU_J002,39,5000,0,25.0,0.46,CU,우산,65,106,24.6,high demand
2025-02-05,Seoul,CU_J002,27,4000,0,30.5,4.85,CU,우산,106,79,24.6,average
2025-02-06,Seoul,CU_J002,15,4500,0,19.0,0.24,CU,우산,79,64,24.6,low demand
2025-02-07,Seoul,CU_J002,16,4500,0,21.0,3.43,CU,우산,64,48,24.6,low demand
2025-02-08,Seoul,CU_J002,33,4000,0,18.9,3.36,CU,우산,48,95,24.6,high demand
2025-02-09,Seoul,CU_J002,32,4000,0,8.1,0.95,CU,우산,95,63,24.6,high demand
2025-02-10,Seoul,CU_J002,37,4000,0,8.4,0.67,CU,우산,63,106,24.6,high demand
2025-02-11,Seoul,CU_J002,37,4500,0,13.1,2.77,CU,우산,106,69,24.6,high demand
2025-02-12,Seoul,CU_J002,27,5000,0,13.4,2.22,CU,우산,69,42,24.6,average
2025-02-13,Seoul,CU_J002,16,4000,0,20.8,4.5,CU,우산,42,106,24.6,low demand
2025-02-14,Seoul,CU_J002,37,4000,0,20.9,3.41,CU,우산,106,69,24.6,high demand
2025-02-15,Seoul,CU_J002,21,5000,0,18.5,3.68,CU,우산,69,48,24.6,low demand
2025-02-16,Seoul,CU_J002,11,4000,0,9.9,4.5,CU,우산,48,37,24.6,low demand
2025-02-17,Seoul,CU_J002,11,5000,0,30.7,4.05,CU,우산,37,106,24.6,low demand
2025-02-18,Seoul,CU_J002,24,5000,0,19.0,3.98,CU,우산,106,82,24.6,average
2025-02-19,Seoul,CU_J002,26,5000,0,24.3,1.51,CU,우산,82,56,24.6,average
2025-02-20,Seoul,CU_J002,39,4000,0,5.7,0.73,CU,우산,56,97,24.6,high demand
2025-02-21,Seoul,CU_J002,39,5000,0,13.2,1.06,CU,우산,97,58,24.6,high demand
2025-02-22,Seoul,CU_J002,30,4500,1,13.9,1.59,CU,우산,58,108,24.6,high demand
2025-02-23,Seoul,CU_J002,39,5000,0,27.5,3.42,CU,우산,108,69,24.6,high demand
2025-02-24,Seoul,CU_J002,31,4500,0,7.5,0.98,CU,우산,69,38,24.6,high demand
2025-02-25,Seoul,CU_J002,31,5000,0,23.0,1.96,CU,우산,38,87,24.6,high demand
2025-02-26,Seoul,CU_J002,14,5000,0,26.5,3.35,CU,우산,87,73,24.6,low demand
2025-02-27,Seoul,CU_J002,38,5000,0,11.8,1.01,CU,우산,73,35,24.6,high demand
2025-02-28,Seoul,CU_J002,30,4500,0,7.3,0.1,CU,우산,35,85,24.6,high demand
2025-03-01,Seoul,CU_J002,25,4000,0,8.4,4.15,CU,우산,85,60,24.6,average
2025-03-02,Seoul,CU_J002,28,4000,0,9.4,2.55,CU,우산,60,32,24.6,high demand
2025-03-03,Seoul,CU_J002,37,5000,0,24.8,0.3,CU,우산,32,75,24.6,high demand
2025-03-04,Seoul,CU_J002,21,5000,0,18.6,4.74,CU,우산,75,54,24.6,low demand
2025-03-05,Seoul,CU_J002,21,5000,0,14.1,4.48,CU,우산,54,33,24.6,low demand
2025-03-06,Seoul,CU_J002,36,4500,0,24.2,3.18,CU,우산,33,77,24.6,high demand
2025-03-07,Seoul,CU_J002,28,4500,0,15.4,3.47,CU,우산,77,49,24.6,high demand
2025-03-08,Seoul,CU_J002,12,4000,0,17.1,3.62,CU,우산,49,37,24.6,low demand
2025-03-09,Seoul,CU_J002,11,4500,0,21.7,3.91,CU,우산,37,106,24.6,low demand
2025-03-10,Seoul,CU_J002,12,4500,0,26.1,2.3,CU,우산,106,94,24.6,low demand
2025-03-11,Seoul,CU_J002,27,5000,0,19.0,2.16,CU,우산,94,67,24.6,average
2025-03-12,Seoul,CU_J002,34,4500,0,32.2,1.3,CU,우산,67,33,24.6,high demand
2025-03-13,Seoul,CU_J002,16,4500,0,7.8,0.87,CU,우산,33,97,24.6,low demand
2025-03-14,Seoul,CU_J002,33,4000,0,25.2,1.57,CU,우산,97,64,24.6,high demand
2025-03-15,Seoul,CU_J002,32,4000,0,14.7,0.66,CU,우산,64,32,24.6,high demand
2025-03-16,Seoul,CU_J002,31,5000,0,22.1,1.19,CU,우산,32,81,24.6,high demand
2025-03-17,Seoul,CU_J002,32,4000,1,6.3,4.1,CU,우산,81,49,24.6,high demand
2025-03-18,Seoul,CU_J002,15,4000,1,28.6,1.4,CU,우산,49,34,24.6,low demand
2025-03-19,Seoul,CU_J002,24,5000,0,25.6,1.73,CU,우산,34,90,24.6,average
2025-03-20,Seoul,CU_J002,27,5000,0,28.6,3.28,CU,우산,90,63,24.6,average
2025-03-21,Seoul,CU_J002,25,5000,0,22.3,3.57,CU,우산,63,38,24.6,average
2025-03-22,Seoul,CU_J002,36,5000,0,15.1,3.11,CU,우산,38,82,24.6,high demand
2025-03-23,Seoul,CU_J002,34,5000,0,16.2,4.11,CU,우산,82,48,24.6,high demand
2025-03-24,Seoul,CU_J002,12,4500,0,24.3,4.25,CU,우산,48,36,24.6,low demand
2025-03-25,Seoul,CU_J002,35,5000,0,24.0,1.83,CU,우산,36,81,24.6,high demand
2025-03-26,Seoul,CU_J002,25,4000,0,27.2,0.12,CU,우산,81,56,24.6,average
2025-03-27,Seoul,CU_J002,10,4000,0,5.4,2.23,CU,우산,56,46,24.6,low demand
2025-03-28,Seoul,CU_J002,10,4500,0,24.8,1.49,CU,우산,46,36,24.6,low demand
2025-03-29,Seoul,CU_J002,22,5000,0,19.0,2.01,CU,우산,36,94,24.6,low demand
2025-03-30,Seoul,CU_J002,29,4000,0,29.1,2.2,CU,우산,94,65,24.6,high demand
2025-03-31,Seoul,CU_J002,32,4500,0,19.3,3.4,CU,우산,65,33,24.6,high demand
2025-04-01,Seoul,CU_J002,22,4500,0,19.6,2.34,CU,우산,33,91,24.6,low demand
2025-04-02,Seoul,CU_J002,27,4500,0,28.7,4.01,CU,우산,91,64,24.6,average
2025-04-03,Seoul,CU_J002,30,4500,0,21.9,1.05,CU,우산,64,34,24.6,high demand
2025-04-04,Seoul,CU_J002,31,4500,0,22.7,4.81,CU,우산,34,83,24.6,high demand
2025-04-05,Seoul,CU_J002,38,5000,0,20.1,4.52,CU,우산,83,45,24.6,high demand
2025-04-06,Seoul,CU_J002,33,5000,0,16.7,1.77,CU,우산,45,92,24.6,high demand
2025-04-07,Seoul,CU_J002,32,5000,0,26.1,4.01,CU,우산,92,60,24.6,high demand
2025-04-08,Seoul,CU_J002,20,4000,0,-2.3,4.51,CU,우산,60,40,24.6,low demand
2025-04-09,Seoul,CU_J002,13,4000,0,15.7,1.11,CU,우산,40,107,24.6,low demand
2025-04-10,Seoul,CU_J002,23,5000,0,17.5,4.31,CU,우산,107,84,24.6,average
2025-04-11,Seoul,CU_J002,15,5000,0,20.8,2.63,CU,우산,84,69,24.6,low demand
2025-04-12,Seoul,CU_J002,22,4000,0,12.2,3.26,CU,우산,69,47,24.6,low demand
2025-04-13,Seoul,CU_J002,12,4000,1,27.3,0.79,CU,우산,47,35,24.6,low demand
2025-04-14,Seoul,CU_J002,15,4000,0,23.1,4.96,CU,우산,35,100,24.6,low demand
2025-04-15,Seoul,CU_J002,17,5000,0,22.8,0.71,CU,우산,100,83,24.6,low demand
2025-04-16,Seoul,CU_J002,25,4000,0,15.8,4.2,CU,우산,83,58,24.6,average
2025-04-17,Seoul,CU_J002,35,5000,1,23.7,1.82,CU,우산,58,103,24.6,high demand
2025-04-18,Seoul,CU_J002,18,4500,0,31.8,1.36,CU,우산,103,85,24.6,low demand
2025-04-19,Seoul,CU_J002,11,4000,0,24.3,2.57,CU,우산,85,74,24.6,low demand
2025-04-20,Seoul,CU_J002,13,5000,0,22.3,3.26,CU,우산,74,61,24.6,low demand
2025-04-21,Seoul,CU_J002,21,4000,0,12.6,4.95,CU,우산,61,40,24.6,low demand
2025-04-22,Seoul,CU_J002,17,4500,0,21.2,3.45,CU,우산,40,103,24.6,low demand
2025-04-23,Seoul,CU_J002,26,4500,0,26.0,0.02,CU,우산,103,77,24.6,average
2025-04-24,Seoul,CU_J002,27,4500,0,8.6,1.53,CU,우산,77,50,24.6,average
2025-04-25,Seoul,CU_J002,23,4500,0,26.0,2.26,CU,우산,50,107,24.6,average
2025-04-26,Seoul,CU_J002,20,4500,1,23.7,2.2,CU,우산,107,87,24.6,low demand
2025-04-27,Seoul,CU_J002,35,4500,0,25.3,1.73,CU,우산,87,52,24.6,high demand
2025-04-28,Seoul,CU_J002,11,4500,0,22.2,0.25,CU,우산,52,41,24.6,low demand
2025-04-29,Seoul,CU_J002,28,4500,1,24.6,1.17,CU,우산,41,93,24.6,high demand
2025-04-30,Seoul,CU_J002,35,4000,1,28.1,0.92,CU,우산,93,58,24.6,high demand
2025-05-01,Seoul,CU_J002,29,5000,0,27.1,1.16,CU,우산,58,109,24.6,high demand
2025-05-02,Seoul,CU_J002,14,4500,0,28.4,2.76,CU,우산,109,95,24.6,low demand
2025-05-03,Seoul,CU_J002,34,4500,0,29.0,4.31,CU,우산,95,61,24.6,high demand
2025-05-04,Seoul,CU_J002,14,4500,0,28.5,1.71,CU,우산,61,47,24.6,low demand
2025-05-05,Seoul,CU_J002,21,4500,0,14.6,1.0,CU,우산,47,106,24.6,low demand
2025-05-06,Seoul,CU_J002,18,5000,0,21.5,2.85,CU,우산,106,88,24.6,low demand
2025-05-07,Seoul,CU_J002,11,4000,0,26.7,3.62,CU,우산,88,77,24.6,low demand
2025-05-08,Seoul,CU_J002,35,4000,0,20.8,4.64,CU,우산,77,42,24.6,high demand
2025-05-09,Seoul,CU_J002,28,4500,0,33.5,3.82,CU,우산,42,94,24.6,high demand
2025-05-10,Seoul,CU_J002,23,5000,0,29.2,0.04,CU,우산,94,71,24.6,average
2025-05-11,Seoul,CU_J002,33,4500,0,23.0,1.21,CU,우산,71,38,24.6,high demand
2025-05-12,Seoul,CU_J002,25,5000,0,15.5,2.85,CU,우산,38,93,24.6,average
2025-05-13,Seoul,CU_J002,30,5000,1,24.2,1.21,CU,우산,93,63,24.6,high demand
2025-05-14,Seoul,CU_J002,20,4000,0,24.1,1.58,CU,우산,63,43,24.6,low demand
2025-05-15,Seoul,CU_J002,21,4000,0,33.0,0.73,CU,우산,43,102,24.6,low demand
2025-05-16,Seoul,CU_J002,13,4000,0,19.8,0.21,CU,우산,102,89,24.6,low demand
2025-05-17,Seoul,CU_J002,21,4000,0,18.9,1.18,CU,우산,89,68,24.6,low demand
2025-05-18,Seoul,CU_J002,25,4000,0,26.2,3.11,CU,우산,68,43,24.6,average
2025-05-19,Seoul,CU_J002,13,5000,0,14.9,1.41,CU,우산,43,110,24.6,low demand
2025-05-20,Seoul,CU_J002,18,4500,0,11.1,0.28,CU,우산,110,92,24.6,low demand
2025-05-21,Seoul,CU_J002,22,5000,0,24.4,2.47,CU,우산,92,70,24.6,low demand
2025-05-22,Seoul,CU_J002,14,4500,0,8.6,0.99,CU,우산,70,56,24.6,low demand
2025-05-23,Seoul,CU_J002,10,4000,0,17.6,1.48,CU,우산,56,46,24.6,low demand
2025-05-24,Seoul,CU_J002,32,4000,0,28.5,0.12,CU,우산,46,94,24.6,high demand
2025-05-25,Seoul,CU_J002,32,4500,0,14.5,2.39,CU,우산,94,62,24.6,high demand
2025-05-26,Seoul,CU_J002,16,4000,0,36.0,1.87,CU,우산,62,46,24.6,low demand
2025-05-27,Seoul,CU_J002,10,5000,0,16.1,3.64,CU,우산,46,36,24.6,low demand
2025-05-28,Seoul,CU_J002,24,4500,0,14.0,0.42,CU,우산,36,92,24.6,average
2025-05-29,Seoul,CU_J002,21,4000,0,27.8,4.86,CU,우산,92,71,24.6,low demand
2025-05-30,Seoul,CU_J002,17,5000,0,25.2,4.12,CU,우산,71,54,24.6,low demand
2025-05-31,Seoul,CU_J002,21,4000,0,18.1,2.51,CU,우산,54,33,24.6,low demand
2025-06-01,Seoul,CU_J002,22,5000,0,18.7,3.34,CU,우산,33,91,24.6,low demand
2025-06-02,Seoul,CU_J002,38,4000,0,14.7,2.99,CU,우산,91,53,24.6,high demand
2025-06-03,Seoul,CU_J002,19,5000,0,11.8,0.8,CU,우산,53,34,24.6,low demand
2025-06-04,Seoul,CU_J002,31,4500,0,17.7,2.02,CU,우산,34,83,24.6,high demand
2025-06-05,Seoul,CU_J002,34,4000,1,22.7,4.73,CU,우산,83,49,24.6,high demand
2025-06-06,Seoul,CU_J002,38,5000,0,12.7,2.1,CU,우산,49,91,24.6,high demand
2025-06-07,Seoul,CU_J002,18,4000,0,18.6,4.48,CU,우산,91,73,24.6,low demand
2025-06-08,Seoul,CU_J002,32,4500,0,13.8,0.03,CU,우산,73,41,24.6,high demand
2025-06-09,Seoul,CU_J002,39,5000,0,15.7,4.67,CU,우산,41,82,24.6,high demand
2025-06-10,Seoul,CU_J002,13,4500,0,29.9,1.87,CU,우산,82,69,24.6,low demand
2025-06-11,Seoul,CU_J002,33,5000,0,22.4,2.43,CU,우산,69,36,24.6,high demand
2025-06-12,Seoul,CU_J002,21,4500,1,20.3,0.74,CU,우산,36,95,24.6,low demand
2025-06-13,Seoul,CU_J002,26,4000,0,23.4,2.39,CU,우산,95,69,24.6,average
2025-06-14,Seoul,CU_J002,21,4000,0,17.9,4.8,CU,우산,69,48,24.6,low demand
2025-06-15,Seoul,CU_J002,22,5000,0,16.6,4.89,CU,우산,48,106,24.6,low demand
2025-06-16,Seoul,CU_J002,31,4000,0,14.5,3.83,CU,우산,106,75,24.6,high demand
2025-06-17,Seoul,CU_J002,19,4500,0,15.6,4.04,CU,우산,75,56,24.6,low demand
2025-06-18,Seoul,CU_J002,39,4500,0,30.7,1.07,CU,우산,56,97,24.6,high demand
2025-06-19,Seoul,CU_J002,22,5000,0,15.4,0.15,CU,우산,97,75,24.6,low demand
2025-06-20,Seoul,CU_J002,39,4500,0,24.6,3.87,CU,우산,75,36,24.6,high demand
2025-06-21,Seoul,CU_J002,12,4000,0,22.3,2.47,CU,우산,36,104,24.6,low demand
2025-06-22,Seoul,CU_J002,37,5000,1,24.2,4.59,CU,우산,104,67,24.6,high demand
2025-06-23,Seoul,CU_J002,24,4500,0,16.0,3.98,CU,우산,67,43,24.6,average
2025-06-24,Seoul,CU_J002,16,5000,0,38.3,4.68,CU,우산,43,107,24.6,low demand
2025-06-25,Seoul,CU_J002,15,4000,1,24.7,4.44,CU,우산,107,92,24.6,low demand
2025-06-26,Seoul,CU_J002,37,4500,0,22.1,3.89,CU,우산,92,55,24.6,high demand
2025-06-27,Seoul,CU_J002,37,4500,0,14.0,3.35,CU,우산,55,98,24.6,high demand
2024-10-01,Seoul,GS25_J002,10,4000,0,22.2,4.63,GS25,우산,100,90,23.51851852,low demand
2024-10-02,Seoul,GS25_J002,18,5000,0,21.2,4.99,GS25,우산,90,72,23.51851852,low demand
2024-10-03,Seoul,GS25_J002,11,4500,1,12.7,3.4,GS25,우산,72,61,23.51851852,low demand
